WORD,MEANING
clandestine,"[MEANING 1]adj.隐藏的，秘密的: kept or done in secret, often in order to conceal an illicit or improper purpose"
clarion,[MEANING 1]adj.清楚响亮的: loud and clear
clarity,"[MEANING 1]n.清晰、清楚: the quality or state of being clear: lucidity
[MEANING 2]n.清澈透明: the state or quality of being easily seen through"
clasp,[MEANING 1]n./v.紧握: the act or manner of holding
clement,"[MEANING 1]adj.宽容的，善良的: tolerant and kind in the judgment of and expectations for others
[MEANING 2]adj.气候温和的: marked by temperatures that are neither too high nor too low"
cliche,"[MEANING 1]n./ adj陈词滥调(的): a hackneved theme, characterization, or situation"
clog,"[MEANING 1]n.阻碍物: something that makes movement or progress difficult
[MEANING 2]v.阻碍: to create difficulty for the work or activity of
[MEANING 3]v.堵塞: to prevent passage through by filling with something"
clot,"[MEANING 1]n.密集的一群: a number of things considered as a unit
[MEANING 2]v.堵塞: to prevent passage through by filling with something
[MEANING 3]v.凝结: to turn from a liquid into a substance resembling jelly"
cloudburst,[MEANING 1]n.突然一场暴雨: a sudden copious rainfall
clout,[MEANING 1]n.权力，影响力: influence ； pull
cloying,[MEANING 1]adj.甜得发腻的，感情用事的: excessively sweet or sentimental
clumsy,"[MEANING 1]adj.笨拙的: lacking or showing a lack of nimbleness in using one's hands； a lack of skill and tact
[MEANING 2]adj.不文雅的: lacking social grace and assurance； showing an inability to move in a graceful manner
[MEANING 3]adj.不精致的 hastily or roughly constructed"
coagulate,"[MEANING 1]v.凝结,使变稠: to cause to become viscous or thickened into a coherent mass : curdle, clot"
coalesce,"[MEANING 1]v.合并,融合 to unite into a whole: fuse"
coax,[MEANING 1]vt.哄骗: to persuade or try to persuade by pleading or flattery; cajole
coda,[MEANING 1]n.终曲: the concluding passage of a movement or composition
coerce,[MEANING 1]vt.(以武力)强制: to achieve by force or threat
coeval,"[MEANING 1]adj.[SYNONYMS]时代的，[SYNONYMS]龄的: of the same or equal age, antiquity, or duration"
cogent,"[MEANING 1]adj.令人信服的: appealing forcibly to the mind or reason: convincing
[MEANING 2]adj.相关的: pertinent, relevant"
cognizant,[MEANING 1]adj.知道的，意识到的: fully informed; conscious; aware
collapse,"[MEANING 1]vi.突然倒塌或收缩: to fall or shrink together abruptly and completely
[MEANING 2]n.完全耗尽体力: a complete depletion of energy or strength
[MEANING 3]v./n失败 to be unsuccessful/ a falling short of one's goals"
collude,"[MEANING 1]v.串通，共谋(做坏事): to act together secretly to achieve a fraudulent, illegal, or deceitful purpose; conspire"
colossal,"[MEANING 1]adj.巨大的: of a size, extent, or degree that elicits awe or taxes belief; immense"
coltish,"[MEANING 1]adj.不守纪律的: net subjected to discipline
[MEANING 2]adj.爱开玩笑的: given to good-natured joking or teasing"
coma,"[MEANING 1]n.昏迷，深度无知觉: a state of profound unconsciousness caused by disease, injury, or poison
[MEANING 2]n.迟钝，冷漠: a state of mental or physical sluggishness : torpor"
combustible,"[MEANING 1]adj.可燃的: capable of igniting and burning
[MEANING 2]adj.容易激动的: easily excited"
comely,[MEANING 1]n.漂亮的，吸引人的: pleasing and wholesome in appearance; attractive
comity,[MEANING 1]n.友好，社会和谐: friendly social atmosphere : social harmony
commencement,"[MEANING 1]n.开始: a beginning; a start
[MEANING 2]n.毕业典礼 the ceremonies or the day for conferring degrees or diplomas"
commend,"[MEANING 1]vt.赞扬: to mention with approbation: praise
[MEANING 2]vt.委托保管: to entrust for care or preservation
[MEANING 3]vt.推荐: to recommend as worthy of confidence or notice"
commensurate,"[MEANING 1]adj.[SYNONYMS]样大小的: equal in measure or extent
[MEANING 2]adj.相称的，相当的: corresponding in size or degree; proportionate"
commingle,[MEANING 1]v.充分混合: to blend thoroughly into a harmonious whole
commitment,"[MEANING 1]n.致力，投入: the state or an instance of being obligated or emotionally impelled
[MEANING 2]n.确信: a strong belief in something
[MEANING 3]n.承诺，表态: the act of revealing one's view of"
committed,"[MEANING 1]adj.忠诚的: loyal to a belief, organization, or group, and willing to work hard for it"
commodious,[MEANING 1]adj.宽敞舒适的 comfortably or conveniently spacious: roomy
commonsensical,[MEANING 1]adj.符合常识的，有依据的: displaying common sense，based on sound reasoning or information
commotion,[MEANING 1]n.骚乱: an agitated disturbance
compendium,"[MEANING 1]n.摘要: a brief summary of a larger work or of a field of knowledge: abstract
[MEANING 2]n.目录: 各种项目的列表或集合: a list or collection of various items"
complacency,"[MEANING 1]n.自满，无忧患意识: a feeling of self-satisfaction, coupled with an unawareness of trouble"
complaisance,[MEANING 1]n.愿意顺从，讨好，彬彬有礼: disposition to please or comply: affability
compliant,[MEANING 1]adj.顺从的: ready or disposed to comply: submissive
compliment,"[MEANING 1]n./ vt称赞，恭维: an expression of praise, admiration, or congratulation
[MEANING 2]n.敬意，免费赠送的礼物: formal and respectful recognition : honor"
comply,"[MEANING 1]vi.遵从: to conform, submit, or adapt (as to a regulation or to another's wishes) as required or requested"
compose,"[MEANING 1]v.使镇定: to free from agitation: calm
[MEANING 2]v.组成，构成: to form the substance of : constitute"
compound,"[MEANING 1]n. 混和物: composed of or resulting from union of separate elements, ingredients, or parts
[MEANING 2]adj.混合的: consisting of two or more substances, ingredients, elements, or parts
[MEANING 3]vt.混合: to put or bring together so as to form a new and longer whole
[MEANING 4]v.扩大，增多: to make greater in size, amount, or number
[MEANING 5]v.和解: to agree for a consideration not to prosecute (an offense)"
compress,[MEANING 1]vt.压缩(体积): to reduce in size or volume as if by squeezing
compromise,"[MEANING 1]v.妥协: to adjust or settle by mutual concessions
[MEANING 2]v.使危险: to place in danger"
compunction,[MEANING 1]n.焦虑: anxiety arising from awareness of guilt
concatenate,[MEANING 1]v.连结，混合: to put or bring together so as to form a new and longer whole
concave,[MEANING 1]adj.凹的: curved like the inner surface of a sphere
conceal,[MEANING 1]v.隐藏，隐瞒: to prevent disclosure or recognition of
concede,"[MEANING 1]vt.承认: to grant as a right or privilege
[MEANING 2]v.停止抵抗: to cease resistance (as to another's arguments, demands, or control)"
concentrate,"[MEANING 1]v.集中: to bring or direct toward a common center or objective : focus
[MEANING 2]vt.浓缩: to make less dilute
[MEANING 3]v.聚集: to come together in one body or place"
concerted,[MEANING 1]adj.共[SYNONYMS]完成的，协[SYNONYMS]的: planned or accomplished together
conciliate,"[MEANING 1]v.平息，抚慰: to lessen the anger or agitation of
[MEANING 2]vt.调解: to make compatible : reconcile"
concise,[MEANING 1]adj.简洁的: marked by brevity of expression or statement
concord,[MEANING 1]n. 一致，和睦: harmony or agreement of interests or feelings; accord
concur,"[MEANING 1]vi.[SYNONYMS]意: to express agreement
[MEANING 2]v.[SYNONYMS]一时间发生、存在: to occur or exist at the same time
[MEANING 3]v.团结合作: to participate or assist in a joint effort to accomplish an end"
condescending,[MEANING 1]adj.摆出高人一等的姿态的: displaying a patronizingly superior attitude
condign,"[MEANING 1]adj.应得的，恰当的: deserved, appropriate"
condole,[MEANING 1]vi.表达[SYNONYMS]情: to express sympathetic sorrow
condone,"[MEANING 1]vt.宽恕，忽视: to overlook, forgive, or disregard (an offense) without protest or censure"
conducive,[MEANING 1]adj.有益的，有促进的: tending to promote or assist
confident,[MEANING 1]adj.有信心的，自信的: having or showing assurance and self-reliance
confine,"[MEANING 1]vt.禁闭，监禁: to shut or keep in, especially to imprison
[MEANING 2]v.限制: to keep within limits"
confluence,[MEANING 1]n.汇合，混合: the coming together of two or more things to the same point
confront,"[MEANING 1]vt.直接对抗，直面: to come face to face with, especially with defiance or hostility"
confound,"[MEANING 1]vt.使困惑: to throw into a state of mental uncertainty
[MEANING 2]v.无法区分，混淆: to fail to differentiate (a thing) from something similar or related
[MEANING 3]v.证明为假，证伪: to prove to be false"
congeal,[MEANING 1]v.凝固，固化: to change from a fluid to a solid state by or as if by cold
congenial,"[MEANING 1]adj.和善的，友好的: having or marked by agreement in feeling or action
[MEANING 2]adj.令人愉悦的: giving pleasure or contentment to the mind or senses"
congruent,"[MEANING 1]adj.和谐一致的: being in agreement, harmony, or correspondence; congruous
[MEANING 2]adj.全等的: coinciding exactly when superimposed"
conjecture,"[MEANING 1]n.揣测的结果: a conclusion deduced by surmise or guesswork
[MEANING 2]v.猜测，估计(大小数量等): to decide the size, amount, number, or distance of (something) without actual measurement
[MEANING 3]v.(没有依据地)认为: to form an opinion from little or no evidence"
connive,"[MEANING 1]vi.暗中合作: to cooperate secretly or have a secret understanding; collude
[MEANING 2]v.纵容: 假装忽视或并未采取措施阻止错误: to pretend ignorance of or fail to take action against something one ought to oppose"
connoisseur,"[MEANING 1]n.鉴赏家(尤其艺术领域): a person who enjoys with discrimination and appreciation of subtleties and details especially in matters of culture or art
[MEANING 2]n.专家: a person with a high level of knowledge or skill in a field"
conscientious,"[MEANING 1]adj.仔细的，一丝不苟的: taking, showing, or involving great care and effort
[MEANING 2]adj.有良心的，正直的: governed by or conforming to the dictates of conscience"
consensus,[MEANING 1]n. 一致[SYNONYMS]意: general agreement; unanimity
consequence,"[MEANING 1]n.结果: something produced by a cause or necessarily following from a set of conditions
[MEANING 2]n.重要性，价值: significance; importance"
conservative,"[MEANING 1]adj.守旧的，不愿改变的: favoring traditional views and values; tending to oppose change
[MEANING 2]adj.不招摇的，低调的: not excessively showy
[MEANING 3]adj.谨慎小心的: having or showing a close attentiveness to avoiding danger or trouble"
conservatory,"[MEANING 1]n.温室: a greenhouse for growing or displaying plants
[MEANING 2]n.艺术学院: a school specializing in one of the fine arts"
conserve,"[MEANING 1]vt.保存，避免浪费: to keep in a safe or sound state, especially to avoid wasteful or destructive use"
considerable,"[MEANING 1]adj.(数量上)可观(而值得注意)的: sufficiently large in size, amount, or number to merit attention
[MEANING 2]adj.值得考虑的，重要的: worth consideration; significant"
console,"[MEANING 1]vt.安慰，藉慰: to alleviate the grief, sense of loss, or trouble of; comfort"
consolidate,"[MEANING 1]vt.使联合，统一: to join together into one whole; unite
[MEANING 2]vt.加固，使安全: to make firm or secure; strengthen"
consonant,[MEANING 1]adj.和谐一致的: being in agreement or harmony; free from elements making for discord
conspicuous,"[MEANING 1]adj.显而易见的，吸引人的: obvious to the eye or mind, attracting attention"
conspire,[MEANING 1]v.合力，秘谋: to plan together secretly to commit an illegal or wrongful act or accomplish a legal purpose through illegal action
constitute,"[MEANING 1]vt.指[DERIVATIVES]，任命: to appoint to an office, function, or dignity
[MEANING 2]v.构成: make up, form, compose"
constrain,"[MEANING 1]v.限制: to force by imposed stricture, restriction, or limitation
[MEANING 2]v.使人屈服于(压力、感情等): to cause (a person) to give in to pressure"
constringe,[MEANING 1]vt.使紧缩: to make narrow or draw together
construct,"[MEANING 1]v.建造，建立: to form by assembling or combining parts
[MEANING 2]v.创造，想出: to create or think of by clever use of the imagination"
consummate,"[MEANING 1]adj.专业的，有造诣的: extremely skilled and accomplished
[MEANING 2]adj.无纰漏的，完美的: complete in every detail; perfect
[MEANING 3]adj.最高档次的，最大规模的: of the greatest or highest degree or quantity"
contagious,"[MEANING 1]adj.传染的: communicable by contact; catching
[MEANING 2]adj.(情绪等)唤起共鸣的: exciting a similar feeling or reaction in others"
contaminate,"[MEANING 1]vt.染污，掺杂: to soil, stain, corrupt, or infect by contact or association"
content,"[MEANING 1]v.使满足: to appease the desires of
[MEANING 2]n.主题: a major object of interest or concern (as in a discussion or artistic composition)
[MEANING 3]n.内容，内涵: the idea that is conveyed or intended to be conveyed to the mind by language, symbol, or action"
contentious,"[MEANING 1]adj.引起争论的: likely to cause contention; argumentative
[MEANING 2]adj.好争论的，好战的: exhibiting an often perverse and wearisome tendency to quarrels and disputes"
contiguous,[MEANING 1]adj.接壤的，相邻的: sharing an edge or boundary; touching
contort,"[MEANING 1]vt.扭曲: to twist, wrench, or bend severely out of shape"
contract,"[MEANING 1]n.契约，合[SYNONYMS]: a binding agreement between two or more persons or parties, especially one that is written and enforceable by law
[MEANING 2]v.收缩: to reduce in size by drawing together; shrink
[MEANING 3]v.感染疾病: to become affected by a disease or disorder"
contravene,"[MEANING 1]v.违ANTONYM，ANTONYM对: to violate, to oppose in argument: contradict"
contrite,[MEANING 1]adj.(因为有罪孽或过错而感到)后悔悲痛的: feeling or showing sorrow and remorse for a sin or shortcoming
contumacious,[MEANING 1]adj.不服从的，倔强的: stubbornly disobedient; rebellious
conundrum,"[MEANING 1]n.无法解决的问题，迷: a paradoxical, insoluble, or difficult problem; a dilemma"
convalesce,[MEANING 1]vi.渐渐康复，渐愈: to recover health and strength gradually after sickness or weakness
convenience,[MEANING 1]n.便利，方便: fitness or suitability for performing an action or fulfilling a requirement
convention,"[MEANING 1]n.常规，习俗: general agreement on or acceptance of certain practices or attitudes
[MEANING 2]n.公约，协议: a general agreement about basic principles or procedures
[MEANING 3]n.大会，集会: a coming together of a number of persons for a specified purpose"
converge,[MEANING 1]v.汇集，交汇于一点: tending to move toward one point or one another
conversant,[MEANING 1]adj.熟悉的: having frequent or familiar association
convert,"[MEANING 1]n.被改变宗教信仰的人: one that is converted
[MEANING 2]vt.使改变信仰: to bring over from one belief, view, or party to another
[MEANING 3]vt.改变，转化: to alter the physical or chemical nature or properties of especially in manufacturing"
convex,"[MEANING 1]adj.凸起的: having a surface or boundary that curves or bulges outward, as the exterior of a sphere"
convey,"[MEANING 1]vt.运输: to take or carry from one place to another; transport
[MEANING 2]v.传递，交流: to impart or communicate by statement, suggestion, gesture, or appearance"
conviction,"[MEANING 1]n.深信，确信: the state of being convinced
[MEANING 2]n.证明有罪: state of being found or proved guilty"
convoke,[MEANING 1]v.召集开会: to bring together by or as if by summons
convoluted,[MEANING 1]adj.复杂的，费解的: complicated; intricate
convulsion,"[MEANING 1]n.痉挛(强烈的、无法控制的肌肉收缩): an abnormal violent and involuntary contraction of the muscles
[MEANING 2]n.骚乱: a violent disturbance"
coop,[MEANING 1]vt.监禁，困于...之中: to confine in a restricted and often crowded area
copious,[MEANING 1]adj.丰富的，大量的: large in quantity; abundant
coquette,"[MEANING 1]n.调情的女子: a woman who makes teasing sexual or romantic overtures; a flirt
[MEANING 2]v.不认真对待: to deal with something playfully rather than seriously"
cordon,"[MEANING 1]n.警戒线: a line or ring of police, soldiers, or vehicles preventing people from entering an area
[MEANING 2]v.围成一道防线: to form a protective or restrictive cordon around"
cornucopia,[MEANING 1]n.大量: an overflowing store; an abundance
coronation,[MEANING 1]n.加冕，加冕礼: the act or ceremony of crowning a sovereign or the sovereign's consort
corporeal,"[MEANING 1]adj.肉体的: not spiritual
[MEANING 2]adj.有形的，实体的: not immaterial or intangible"
corroborate,"[MEANING 1]vt.用证据或权威证实: to support with evidence or authority; make more certain
[MEANING 2]vt.提供证据，支持: to provide evidence or information for (as a claim or idea)"
corrosive,"[MEANING 1]adj.腐蚀性的: tending to destroy slowly by chemical action
[MEANING 2]adj.讽剌性的: bitingly sarcastic"
corrugated,[MEANING 1]adj.褶皱的: shaped into a series of regular folds that look like waves
cosmopolitan,[MEANING 1]adj.有世界性眼光的，包容的: having worldwide rather than limited or provincial scope or bearing
cosset,[MEANING 1]v.宠爱: to treat as a pet; pamper
countenance,"[MEANING 1]v.容忍: to put up with (something painful or difficult)
[MEANING 2]v.赞成，推崇: to have a favorable opinion of
[MEANING 3]n.沉着，冷静: evenness of emotions or temper"
counterfeit,"[MEANING 1]adj.仿制的，假冒的: made in imitation of something else with intent to deceive
[MEANING 2]vt.仿制: to make a fraudulent replica of
[MEANING 3]vt.伪装成: to present a false appearance of"
countermand,[MEANING 1]vt.取消，撤销: to revoke (a command) by a contrary order
court,[MEANING 1]vt./n.追求，献殷勤: to seek the affections of
covert,"[MEANING 1]adj.隐蔽的，秘密的: not openly shown, engaged in, or avowed
[MEANING 2]n.隐秘掩护所: a place where a person goes to hide or to avoid others"
covetous,[MEANING 1]adj.贪婪的，渴求财富的: marked by inordinate desire for wealth or possessions or for another's possessions
cow,[MEANING 1]v.恐吓，威胁、: to frighten with threats or a show of force
cowardice,[MEANING 1]n.懦弱，不坚定: lack of courage or resolution
cower,[MEANING 1]vi.畏缩: to cringe in fear
cozen,[MEANING 1]v.诱骗: to mislead by means of a petty trick or fraud; deceive
cramped,[MEANING 1]n.狭促的: uncomfortably small or restricted
crass,[MEANING 1]adj.粗俗的，愚钝的: so crude and unrefined as to be lacking in discrimination and sensibility
crave,[MEANING 1]vt.热望: to have an intense desire for
craven,[MEANING 1]adj.非常懦弱的，因胆小令人鄙视的: lacking the least bit of courage; contemptibly fainthearted
crease,"[MEANING 1]n.折痕: a line made by pressing, folding, or wrinkling"
credence,"[MEANING 1]n.坚信: firm belief in the integrity, ability, effectiveness, or genuineness of someone or something"
credulous,[MEANING 1]adj.轻信的，易受骗的: disposed to believe too readily; gullible
creek,[MEANING 1]n.小溪，小河: a natural stream of water normally smaller than and often tributary to a river
creep,"[MEANING 1]vi./n缓慢地行进: to go very slowly
[MEANING 2]vi.匍匐前进: to move slowly with the body close to the ground"
crescendo,"[MEANING 1]n./v.(声音)渐强: a gradual increase in volume of a musical passage
[MEANING 2]n.(渐强之后到达的)顶峰: the peak of a gradual increase"
crest,"[MEANING 1]n.顶部，浪尖: the top, as of a hill or wave"
crestfallen,[MEANING 1]adj.垂头丧气的，沮丧的: dispirited and depressed; dejected
cronyism,[MEANING 1]n.任人唯亲，对好朋友的偏袒: favoritism shown to old friends without regard for their qualifications
crook,[MEANING 1]v.使弯曲: to cause to turn away from a straight line
croon,[MEANING 1]v.低声歌唱或说话: to sing or speak in a gentle murmuring manner
crouch,[MEANING 1]v.蹲伏: to lower the body stance especially by bending the legs
crucial,[MEANING 1]adj.非常重要的，决定性的: extremely significant or important
crumple,"[MEANING 1]v.弄皱: to press, bend, or crush out of shape
[MEANING 2]v.(因外力挤压而)垮塌: to fall down or in as a result of physical pressure"
crutch,[MEANING 1]n./v.支撑，支柱: something that supports or sustains
crux,"[MEANING 1]n.中心，关键点: the basic, central, or critical point or feature"
cryptic,"[MEANING 1]adj.秘密的: secret or occult
[MEANING 2]adj.含义模糊的: having or seeming to have a hidden or ambiguous meaning
[MEANING 3]adj.超出理解能力的: being beyond one's powers to know, understand, or explain"
culpable,"[MEANING 1]adj.该受谴责的，有罪的: deserving of blame or censure as being wrong, evil, improper, or injurious"
cultivate,"[MEANING 1]v.提升: to improve by labor, care, or study
[MEANING 2]v.促进成长，培养: to promote the growth of (a biological culture)"
cumbersome,[MEANING 1]adj.笨重的，难处理的: difficult to handle because of weight or bulk
cunning,"[MEANING 1]adj.狡猾的: marked by or given to artful subtlety and deceptiveness
[MEANING 2]adj.(手工)灵巧的: skillful with the hands
[MEANING 3]n.欺诈，欺骗: the inclination or practice of misleading others through lies or trickery"
curmudgeon,[MEANING 1]n.脾气坏的爱抱怨的人: an irritable and complaining person
cursory,[MEANING 1]adj.匆忙的，不注意细节的: acting or done with excessive or careless speed
curt,"[MEANING 1]adj.言词简略、直接(以至显得粗鲁)的: being or characterized by direct brief, and potentially rude speech or manner
[MEANING 2]adj.言简意赅的: marked by the use of few words to convey much information or meaning"
curtail,[MEANING 1]vt.缩短，削减: to make less in extent or duration
cynic,[MEANING 1]n.愤世嫉俗者: a person who believes all people are motivated by selfishness
dabble,[MEANING 1]v.浅尝辄止: to work or involve oneself superficially or intermittently especially in a secondary interest
daft,"[MEANING 1]adj.神经错乱的: having or showing a very abnormal or sick state of mind
[MEANING 2]adj.不明智的: showing or marked by a lack of good sense or judgment"
dais,"[MEANING 1]n.主席台，嘉宾席: a raised platform, as in a lecture hall, for speakers or honored guests"
dally,"[MEANING 1]vi.虚度时光: to spend time doing nothing
[MEANING 2]v.玩乐: to engage in activity for amusement
[MEANING 3]v.慢吞吞，磨磨蹭蹭: to move or act slowly"
damper,"[MEANING 1]n.抑制因素: one that deadens, restrains, or depresses"
dandy,"[MEANING 1]n.纨绔子弟，爱打扮的人: a man who gives exaggerated attention to personal appearance
[MEANING 2]adj.最佳最好的: of the very best kind"
dank,[MEANING 1]adj.阴湿的: slightly or moderately wet
dapper,[MEANING 1]adj.衣冠整洁的: being strikingly neat and trim in style or appearance
dappled,"[MEANING 1]adj.有斑点的，花的: marked with small spots or contrasting with the background; mottled, spotted
[MEANING 2]adj.色彩斑斓的: having blotches of two or more colors"
daredevil,"[MEANING 1]adj./n大胆鲁莽的(人): foolishly adventurous or bold
[MEANING 2]adj.不考虑后果的: having or showing a lack of concern for the consequences of one's actions"
dart,"[MEANING 1]vi.突然移动: to move suddenly and rapidly
[MEANING 2]n.公开侮辱: an act or expression showing scorn and usually intended to hurt another's feelings"
daunt,[MEANING 1]vt.使胆怯，吓倒: to lessen the courage or confidence of
dawdle,"[MEANING 1]v.闲荡，虚度光阴: to spend time idly
[MEANING 2]v.拖拖拉拉: to move or act slowly"
deadpan,"[MEANING 1]n.不动情的言行举止，无动于衷: impassively matter-of-fact, as in style, behavior, or expression"
dearth,[MEANING 1]n.供应不足: an inadequate supply
debacle,[MEANING 1]n.溃败: a complete failure; fiasco
debark,"[MEANING 1]vt.从船或者飞机上卸货: to unload, as from a ship or an airplane"
debase,[MEANING 1]v.贬低，贬损: to reduce to a lower standing in one's own eyes or in others' eyes
debilitate,[MEANING 1]vt.使衰弱: to impair the strength of; enfeeble
debris,[MEANING 1]n.废墟: discarded or useless material
debunk,"[MEANING 1]v.揭穿真面目: to reveal the true nature of
[MEANING 2]v.证明为假: to prove to be false"
debut,[MEANING 1]n.初次登台，出道: a first public appearance
decadence,"[MEANING 1]n.衰落，颓废: a process, condition, or period of deterioration or decline, a change to a lower state or level"
decant,"[MEANING 1]vt.轻轻倒出: to pour off (wine, for example) without disturbing the sediment"
decipher,"[MEANING 1]vt.破译: to read or interpret (ambiguous, obscure, or illegible matter)
[MEANING 2]v.有清晰想法，理解，解读: to have a clear idea of"
decode,"[MEANING 1]vt.解码: to change (as a secret message) from code into ordinary language
[MEANING 2]v.有清晰想法，理解,解读: to have a clear idea of"
decorum,[MEANING 1]n.礼仪，得体: appropriateness of behavior or conduct; propriety
decrepit,"[MEANING 1]adj.虚弱的，衰老的，破旧的: weakened, worn out, impaired, or broken down by old age, illness"
default,"[MEANING 1]v.拖欠(债务): to fail to pay financial debts, the nonperformance of an assigned or expected action"
defer,"[MEANING 1]v.推迟，延期: to put off; postpone; defer
[MEANING 2]vi.遵从: to submit to another's wishes, opinion, or governance usually through deference or respect"
deference,[MEANING 1]n.尊崇，顺从: a readiness or willingness to yield to the wishes of others
deficiency,[MEANING 1]n.缺乏，不足: the quality or state of being deficient: inadequate
defile,"[MEANING 1]n.(山间)小道: a narrow passage or gorge
[MEANING 2]v.亵渎: to treat (a sacred place or object) shamefully or with great disrespect
[MEANING 3]v.不能被使用: to make unfit for use by the addition of something harmful or undesirable"
deft,[MEANING 1]adj.灵巧的，熟练的: characterized by facility and skjU
defuse,"[MEANING 1]vt.抚慰，减轻: to make less dangerous, tense, or hostile"
defy,"[MEANING 1]vt.ANTONYM抗，违抗: to go against the commands, prohibitions, or rules of"
dehydrate,"[MEANING 1]vt.去除水分，(使)干燥: to remove water from; make anhydrous
[MEANING 2]v.使失去活力或者味道: to deprive of vitality or savor"
deify,"[MEANING 1]v.把...当作神来崇拜: to offer honor or respect to (someone) as a divine power
[MEANING 2]v.过分喜爱: to love or admire too much
[MEANING 3]v.尊敬、尊崇: to assign a high status or value to"
deject,[MEANING 1]vt.使沮丧: to lower the spirits of; dishearten
deleterious,[MEANING 1]adj.有害的: harmful often in a subtle or unexpected way
deliberate,[MEANING 1]adj.深思熟虑的: characterized by or resulting from careful and thorough consideration
delicacy,"[MEANING 1]n.(外貌、建筑、表演)精致: fineness of appearance, construction, or execution; elegance"
delirium,[MEANING 1]n.精神错乱: an acute mental disturbance characterized by confused thinking and disrupted attention usually accompanied by disordered speech and hallucinations
delusion,[MEANING 1]n.错觉: a false idea
deluge,"[MEANING 1]n.大暴雨: a drenching rain
[MEANING 2]n.大量: a great flow of water or of something that overwhelms"
delve,[MEANING 1]vt./ vi.探究，钻研: to make a careful or detailed search for information
demagogue,[MEANING 1]n.蛊惑民心的政客: a leader who makes use of popular prejudices and false claims and promises in order to gain power
demanding,"[MEANING 1]adj.难取悦的，难满足的: not easily satisfied or pleased
[MEANING 2]adj.费时间花心思的: requiring much time, effort, or careful attention"
demolition,"[MEANING 1]n.破坏，毁坏: the act or process of wrecking or destroying, especially destruction by explosives"
demonstrate,"[MEANING 1]v.(通过证据)证明，表明: to show or make clear by using examples
[MEANING 2]v.使明白易懂: to make plain or understandable
[MEANING 3]v.表现，表露: to make known (something abstract) through outward signs"
demoralize,"[MEANING 1]vt.使士气低落: to undermine the confidence or morale of; dishearten
[MEANING 2]v.贬低，堕落: to lower in character, dignity, or quality"
demotic,"[MEANING 1]adj.通俗的，大众化的: popular, common"
demur,"[MEANING 1]vi.表示异议，ANTONYM对: to voice opposition; object
[MEANING 2]n.犹豫: hesitation (as in doing or accepting) usually based on doubt of the acceptability of something offered or proposed; qualm"
denigrate,[MEANING 1]vt.诋毁，污蔑: to express scornfully one's low opinion of
denouement,[MEANING 1]n.(小说的)结局: the final resolution or clarification of a dramatic or narrative plot
denounce,"[MEANING 1]v.公开指责: to express public or formal disapproval of
[MEANING 2]v.声明在道德上错误、可耻: to declare to be morally wrong or evil"
dent,"[MEANING 1]n.凹陷，凹痕: a depression in a surface made by pressure or a blow
[MEANING 2]v.(数量、程度上)变小，变弱: to make smaller in amount, volume, or extent"
denude,[MEANING 1]vt.脱去，使赤裸: to divest of covering; make bare
deplete,[MEANING 1]vt.耗尽，使衰竭: to decrease the fullness of; to make complete use of
deplore,[MEANING 1]vt.哀悼: to feel or express sorrow for
deploy,"[MEANING 1]v.(有目的地)展开；调度: to spread out, utilize, or arrange for a deliberate purpose"
deportation,[MEANING 1]n.放逐: the removal from a country of an alien whose presence is unlawful or prejudicial
depose,"[MEANING 1]vt.发誓作证: to testify to under oath or by affidavit
[MEANING 2]v.废黜，罢免: to remove from a throne or other high position
[MEANING 3]v.摆放: to arrange something in a certain spot or position"
deposit,"[MEANING 1]n.自然积累，沉积: a natural accumulation (as of iron ore, coal, or gas)
[MEANING 2]v.存钱: to put in an account"
depravity,[MEANING 1]n.道德败坏: immoral conduct or practices harmful or offensive to society
deprecate,"[MEANING 1]vt.表达不喜欢: to hold an unfavorable opinion of
[MEANING 2]vt.贬低，轻视: to express scornfully one's low opinion of
[MEANING 3]vt.降低重要性，低调: play down, to make little of"
depreciate,"[MEANING 1]vt.贬低价值: to lower the price or estimated value of
[MEANING 2]vt.轻视: to lower in estimation or esteem"
depressed,"[MEANING 1]adj.不开心，情绪不高的: feeling unhappiness
[MEANING 2]adj.生活境况悲催的: kept from having the necessities of life or a healthful environment"
deprivation,[MEANING 1]n.匮乏: the condition of being deprived; privation
deracinate,[MEANING 1]vt.根除: to pull out by the roots; uproot
derelict,"[MEANING 1]adj.玩忽职守的，不认真的: lacking a sense of duty; marked by a carelessly easy manner
[MEANING 2]n.被社会遗弃的人: a destitute homeless social misfit"
deride,[MEANING 1]vt.嘲弄，嘲笑: to speak of or treat with contemptuous mirth
derivative,[MEANING 1]adj.非原创的: lacking originality: banal
descend,"[MEANING 1]v.下降: to lead or extend downward
[MEANING 2]v.世代相传: to originate or come from an ancestral stock or source, to pass by inheritance"
descendant,[MEANING 1]n.后代: one deriving directly from a precursor or prototype
desecrate,[MEANING 1]vt.亵渎，玷污: to treat (a sacred place or object) shamefully or with great disrespect
desiccate,"[MEANING 1]vt.使(食物)脱水以保存，使干燥: to preserve (a food) by drying
[MEANING 2]v.缺乏活力: to deprive of emotional or intellectual vitality"
designate,"[MEANING 1]v.任命: to pick (someone) by one's authority for a specific position or duty
[MEANING 2]v.命名: to give a name to"
despicable,"[MEANING 1]adj.令人鄙视的: arousing or deserving of one's loathing and disgust
[MEANING 2]adj.不荣耀的，不得体的: not following or in accordance with standards of honor and decency"
